time,src,dst,event,size
0.000769,3,3,3,402
0.001171,1,1,1,402
0.001171,2,2,1,402
0.001777,3,3,3,610
0.001998,2,2,3,465
0.002387,1,1,1,610
0.002387,2,2,1,610
0.002621,1,1,3,865
0.002853,1,1,1,465
0.002853,3,3,1,465
0.002910,2,2,3,753
0.003376,2,2,3,1111
0.003719,3,3,1,865
0.003719,2,2,1,865
0.003934,3,3,3,390
0.004473,1,1,1,753
0.004473,3,3,1,753
0.004733,2,2,3,1435
0.004864,1,1,2,390
0.004864,2,2,2,390
0.005585,1,1,2,1111
0.005585,3,3,2,1111
0.005983,1,1,3,1320
0.006506,1,1,3,1074
0.007021,1,1,1,1435
0.007021,3,3,1,1435
0.007074,2,2,3,1009
0.007322,3,3,3,176
0.007974,2,2,3,904
0.008124,3,3,3,1412
0.008342,3,3,1,1320
0.008342,2,2,1,1320
0.008519,1,1,2,176
0.008519,2,2,2,176
0.009037,3,3,3,1268
0.009352,1,1,2,1009
0.009352,3,3,2,1009
0.009417,3,3,2,1074
0.009417,2,2,2,1074
0.009462,3,3,3,1182
0.009733,1,1,3,52
0.009785,3,3,2,52
0.009785,2,2,2,52
0.009932,1,1,2,1412
0.009932,2,2,2,1412
0.010257,1,1,2,904
0.010257,3,3,2,904
0.010582,3,3,3,602
0.011201,1,1,2,1268
0.011201,2,2,2,1268
0.011413,2,2,3,986
0.011415,2,2,3,737
0.011524,1,1,3,380
0.012078,1,1,3,1275
0.012377,1,1,3,842
0.012377,1,1,4,842
0.012384,1,1,1,1182
0.012384,2,2,1,1182
0.012761,1,1,3,1414
0.012765,3,3,2,380
0.012765,2,2,2,380
0.012987,1,1,2,602
0.012987,2,2,2,602
0.013036,3,3,3,672
0.013154,3,3,3,489
0.013371,1,1,2,986
0.013371,3,3,2,986
0.013708,1,1,2,672
0.013708,2,2,2,672
0.014041,3,3,2,1275
0.014041,2,2,2,1275
0.014109,1,1,2,737
0.014109,3,3,2,737
0.014153,3,3,3,1364
0.014198,1,1,2,489
0.014198,2,2,2,489
0.014262,2,2,3,819
0.014315,3,3,3,814
0.015050,1,1,3,804
0.015081,1,1,2,819
0.015081,3,3,2,819
0.015456,3,3,2,1414
0.015456,2,2,2,1414
0.015563,1,1,2,1364
0.015563,2,2,2,1364
0.015989,2,2,3,893
0.016261,3,3,2,804
0.016261,2,2,2,804
0.016378,1,1,2,814
0.016378,2,2,2,814
0.016688,3,3,3,667
0.016882,1,1,2,893
0.016882,3,3,2,893
0.017237,2,2,3,582
0.017355,1,1,2,667
0.017355,2,2,2,667
0.017819,1,1,2,582
0.017819,3,3,2,582
0.017966,3,3,3,447
0.018261,3,3,3,299
0.018413,1,1,1,447
0.018413,2,2,1,447
0.018444,2,2,3,970
0.018713,1,1,2,299
0.018713,2,2,2,299
0.019356,2,2,3,160
0.019414,1,1,2,970
0.019414,3,3,2,970
0.019575,1,1,2,160
0.019575,3,3,1,160
0.019598,3,3,3,1284
0.019726,1,1,3,1235
0.020882,1,1,1,1284
0.020882,2,2,1,1284
0.021352,2,2,3,1350
0.022118,3,3,1,1235
0.022118,2,2,1,1235
0.022447,2,2,3,591
0.022943,1,1,3,426
0.023216,3,3,3,1245
0.023469,1,1,1,1350
0.023469,3,3,1,1350
0.023896,3,3,2,426
0.023896,2,2,2,426
0.024061,1,1,2,591
0.024061,3,3,2,591
0.024168,2,2,3,874
0.024715,1,1,2,1245
0.024715,2,2,2,1245
0.025042,1,1,2,874
0.025042,3,3,2,874
0.025294,1,1,3,860
0.026138,1,1,3,975
0.026154,3,3,1,860
0.026154,2,2,1,860
0.026391,3,3,3,1341
0.027130,3,3,2,975
0.027130,2,2,2,975
0.027732,1,1,2,1341
0.027732,2,2,2,1341
0.028381,2,2,3,150
0.028531,1,1,1,150
0.028531,3,3,1,150
0.028611,3,3,3,727
0.029338,1,1,1,727
0.029338,2,2,1,727
0.029717,2,2,3,1239
0.030012,3,3,3,1077
0.030109,2,2,3,347
0.030188,3,3,3,507
0.030956,1,1,1,1239
0.030956,3,3,1,1239
0.031304,1,1,2,347
0.031304,3,3,2,347
0.032034,1,1,2,1077
0.032034,2,2,2,1077
0.032339,2,2,3,176
0.032542,1,1,1,507
0.032542,2,2,1,507
0.032561,2,2,3,1028
0.032571,3,3,3,851
0.032627,2,2,3,795
0.032719,1,1,1,176
0.032719,3,3,1,176
0.033571,1,1,2,851
0.033571,2,2,2,851
0.033748,1,1,2,1028
0.033748,3,3,2,1028
0.034008,1,1,3,70
0.034234,2,2,3,898
0.034544,1,1,1,795
0.034544,3,3,1,795
0.034615,3,3,2,70
0.034615,2,2,2,70
0.035428,1,1,3,591
0.035442,2,2,3,1432
0.035443,1,1,2,898
0.035443,3,3,2,898
0.035495,2,2,3,63
0.035963,3,3,3,296
0.036019,3,3,2,591
0.036019,2,2,2,591
0.036079,1,1,3,333
0.036149,3,3,3,1370
0.036182,3,3,3,640
0.036312,1,1,2,296
0.036312,2,2,2,296
0.036332,3,3,3,403
0.036412,3,3,2,333
0.036412,2,2,2,333
0.036684,3,3,3,956
0.036684,3,3,4,956
0.036876,1,1,2,1432
0.036876,3,3,2,1432
0.036940,1,1,2,63
0.036940,3,3,2,63
0.037291,3,3,3,289
0.037291,3,3,4,289
0.037683,1,1,2,1370
0.037683,2,2,2,1370
0.038278,3,3,3,88
0.038324,1,1,1,640
0.038324,2,2,1,640
0.038351,1,1,3,1443
0.038428,3,3,3,544
0.038664,1,1,3,1229
0.038728,1,1,2,403
0.038728,2,2,2,403
0.038817,1,1,2,88
0.038817,2,2,2,88
0.039362,1,1,2,544
0.039362,2,2,2,544
0.039794,3,3,2,1443
0.039794,2,2,2,1443
0.040065,2,2,3,274
0.040280,3,3,3,1412
0.040339,1,1,2,274
0.040339,3,3,2,274
0.040364,3,3,3,998
0.041024,3,3,2,1229
0.041024,2,2,2,1229
0.041638,2,2,3,521
0.042044,2,2,3,884
0.042195,1,1,3,282
0.042437,1,1,1,1412
0.042437,2,2,1,1412
0.042720,3,3,2,282
0.042720,2,2,2,282
0.042867,2,2,3,617
0.042959,1,1,2,521
0.042959,3,3,2,521
0.042994,3,3,3,758
0.043094,1,1,3,542
0.043436,1,1,2,998
0.043436,2,2,2,998
0.043520,3,3,3,390
0.043636,3,3,2,542
0.043636,2,2,2,542
0.043844,1,1,2,884
0.043844,3,3,2,884
0.044053,2,2,3,50
0.044195,1,1,2,758
0.044195,2,2,2,758
0.044462,1,1,2,617
0.044462,3,3,2,617
0.044513,1,1,2,50
0.044513,3,3,2,50
0.044586,1,1,2,390
0.044586,2,2,2,390
0.044678,3,3,3,512
0.044744,3,3,3,433
0.045130,3,3,3,1393
0.045190,1,1,1,512
0.045190,2,2,1,512
0.045624,1,1,2,433
0.045624,2,2,1,433
0.045654,1,1,3,443
0.045742,3,3,3,1384
0.045958,2,2,3,919
0.046281,1,1,3,586
0.047018,1,1,1,1393
0.047018,2,2,1,1393
0.047035,1,1,3,961
0.047037,1,1,3,307
0.047037,1,1,4,307
0.047157,3,3,3,374
0.047462,3,3,2,443
0.047462,2,2,2,443
0.047610,1,1,3,573
0.047729,2,2,3,843
0.047938,1,1,2,919
0.047938,3,3,2,919
0.048049,3,3,2,586
0.048049,2,2,2,586
0.048403,1,1,2,1384
0.048403,2,2,2,1384
0.048483,2,2,3,606
0.048586,3,3,3,629
0.048778,1,1,2,374
0.048778,2,2,2,374
0.048782,1,1,2,843
0.048782,3,3,2,843
0.049011,3,3,2,961
0.049011,2,2,2,961
0.049389,1,1,2,606
0.049389,3,3,2,606
0.049408,1,1,2,629
0.049408,2,2,2,629
0.049585,3,3,2,573
0.049585,2,2,2,573
0.050114,3,3,3,99
0.050187,2,2,3,402
0.050213,1,1,1,99
0.050213,2,2,1,99
0.050429,2,2,3,785
0.050544,1,1,3,834
0.050616,1,1,1,402
0.050616,3,3,1,402
0.050944,3,3,3,1294
0.051370,2,2,3,478
0.051402,1,1,2,785
0.051402,3,3,2,785
0.051451,3,3,2,834
0.051451,2,2,2,834
0.051881,1,1,2,478
0.051881,3,3,2,478
0.051905,3,3,3,1187
0.052256,2,2,3,1192
0.052528,1,1,3,1459
0.052549,2,2,3,151
0.053176,1,1,1,1294
0.053176,2,2,1,1294
0.053940,1,1,3,1441
0.054364,1,1,2,1187
0.054364,2,2,2,1187
0.054369,1,1,2,1192
0.054369,3,3,2,1192
0.054370,2,2,3,1001
0.054521,1,1,2,151
0.054521,3,3,2,151
0.054636,3,3,2,1459
0.054636,2,2,2,1459
0.054664,1,1,3,337
0.054834,3,3,3,35
0.054869,1,1,2,35
0.054869,2,2,2,35
0.054906,2,2,3,786
0.055051,2,2,3,202
0.055523,1,1,2,1001
0.055523,3,3,2,1001
0.056078,3,3,2,1441
0.056078,2,2,2,1441
0.056310,1,1,2,786
0.056310,3,3,2,786
0.056416,3,3,2,337
0.056416,2,2,2,337
0.056443,1,1,3,1280
0.056513,1,1,2,202
0.056513,3,3,2,202
0.056526,2,2,3,1429
0.056675,2,2,3,1251
0.056906,1,1,3,148
0.057271,3,3,3,679
0.057358,1,1,3,1262
0.057387,2,2,3,776
0.057560,1,1,3,528
0.057560,1,1,4,528
0.057723,3,3,2,1280
0.057723,2,2,2,1280
0.057872,3,3,2,148
0.057872,2,2,2,148
0.057950,1,1,2,679
0.057950,2,2,2,679
0.057955,1,1,2,1429
0.057955,3,3,2,1429
0.058869,2,2,3,430
0.058895,2,2,3,90
0.058895,2,2,4,90
0.059135,3,3,2,1262
0.059135,2,2,2,1262
0.059207,1,1,2,1251
0.059207,3,3,2,1251
0.059485,3,3,3,829
0.059984,1,1,1,776
0.059984,3,3,1,776
0.060415,1,1,2,430
0.060415,3,3,2,430
0.060454,1,1,3,1372
0.060504,2,2,3,92
0.060596,1,1,2,92
